id,comentario_original,comentario_limpo,estrelas,sentimento
21,"{""clickstreamNexusMetricsConfig"":{""producerId"":""vsemetrics_playercards"",""schemaId"":""clickstream.CustomerEvent.4"",""actionType"":""DISCOVERY"",""eventOwner"":""vsemetrics_playercards"",""eventType"":""IVEVideoView"",""productId"":""""},""clientPrefix"":""vse_reviews_desktop_r39lnaaj4hqzkp_1773438636590"",""ccvDisclosure"":"""",""closedCaptionsConfig"":{""captionsOnTexts"":{""de"":""Alemão (Automatizado)"",""en"":""Inglês (Automatizado)"",""fr"":""Francês (Automatizado)"",""es"":""Espanhol (Automatizado)""},""captionsOffText"":""Legendas desativadas"",""languageToLabelTexts"":{""English"":""Inglês"",""French"":""Francês"",""German"":""Alemão"",""Spanish"":""Espanhol""}},""sushiMetricsConfig"":{""eventSource"":""Player"",""endpoint"":""https://unagi-na.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test"",""requestId"":""F0A51HTJ9G5KZDBCKYHY"",""sessionId"":""135-8958072-2327906"",""customerId"":""A3HU3TWHZ85TLW"",""refMarkers"":""vse_reviews_desktop_R39LNAAJ4HQZKP_1773438636590_ref"",""sessionType"":1,""placementContext"":""cr_inline_review"",""marketplaceId"":""A2Q3Y263D00KWC"",""weblabIds"":"""",""isInternal"":false,""isRobot"":false,""clientId"":""VSE-BR"",""videoAsinList"":""""},""mimeType"":""application/x-mpegURL"",""reportUrl"":"""",""nexusMetricsConfig"":{""eventSource"":""Player"",""isInternal"":false,""playerTSMMetricsSchemaId"":""vse.VSECardsPlayerEvents.9"",""widgetMetricsSchemaId"":""vse.VSECardsEvents.9"",""producerId"":""vsemetrics_playercards"",""refMarkers"":""vse_reviews_desktop_R39LNAAJ4HQZKP_1773438636590_ref"",""placementContext"":""cr_inline_review"",""weblabIds"":"""",""clientId"":""VSE-BR"",""videoAsin"":""R39LNAAJ4HQZKP"",""videoAsinList"":"""",""customerId"":""A3HU3TWHZ85TLW""},""videoHeight"":0,""disableReportIllegalLink"":false,""videoWidth"":0,""eligibleToTriggerCCWeblab"":false,""videoUrl"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/44b74965-881b-4b61-8975-b653ae05cd40/default.vertical.jobtemplate.hls.m3u8"",""metricsEmissionMethod"":""nexus"",""imageUrl"":""https://m.media-amazon.com/images/I/31tc7MutWVL._SY256._SY256.jpg"",""awaConfig"":{""useUpNextComponent"":false,""clickstreamNexusMetricsConfig"":{""producerId"":""vsemetrics_playercards"",""schemaId"":""clickstream.CustomerEvent.4"",""actionType"":""DISCOVERY"",""eventOwner"":""vsemetrics_playercards"",""eventType"":""IVEVideoView"",""productId"":""""},""initialVideo"":""R39LNAAJ4HQZKP"",""shouldPreload"":true,""enableClickBasedAttribution"":false,""isChromelessPlayer"":false,""closedCaptionsConfig"":{""captionsOnTexts"":{""de"":""Alemão (Automatizado)"",""en"":""Inglês (Automatizado)"",""fr"":""Francês (Automatizado)"",""es"":""Espanhol (Automatizado)""},""captionsOffText"":""Legendas desativadas"",""languageToLabelTexts"":{""English"":""Inglês"",""French"":""Francês"",""German"":""Alemão"",""Spanish"":""Espanhol""}},""enableDynamicBlur"":false,""showPlayerPlayButton"":false,""isVideoImmersivePlayer"":false,""metricsEmissionMethod"":""nexus"",""skipInitialFocus"":false,""playerSkin"":""none"",""disabledViewIds"":[""replayHint""],""includeEarnsComissionDisclosure"":false,""customerId"":""A3HU3TWHZ85TLW"",""containerId"":""vse_reviews_desktop_r39lnaaj4hqzkp_1773438636590-player-56d33336-9687-4cb6-bc07-c0e9f2866266"",""allowCrossOrigin"":false,""requestMetadata"":{""clientId"":""VSE-BR"",""marketplaceId"":""A2Q3Y263D00KWC"",""requestId"":""F0A51HTJ9G5KZDBCKYHY"",""sessionId"":""135-8958072-2327906"",""method"":""cr_inline_review"",""pageAsin"":""""},""shouldLoop"":false,""shouldDisableControls"":false,""alwaysSetInitialVideo"":true,""showPlayerCloseButton"":false,""clientPrefix"":"""",""useAutoplayFallback"":false,""sushiMetricsConfig"":{""eventSource"":""Player"",""endpoint"":""https://unagi-na.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test"",""requestId"":""F0A51HTJ9G5KZDBCKYHY"",""sessionId"":""135-8958072-2327906"",""customerId"":""A3HU3TWHZ85TLW"",""refMarkers"":""vse_reviews_desktop_R39LNAAJ4HQZKP_1773438636590_ref"",""sessionType"":1,""placementContext"":""cr_inline_review"",""marketplaceId"":""A2Q3Y263D00KWC"",""weblabIds"":"""",""isInternal"":false,""isRobot"":false,""clientId"":""VSE-BR"",""videoAsinList"":""""},""ospLinkCode"":"""",""showPosterImage"":true,""languageCode"":""pt"",""languageLocalization"":{""play"":""Jogar"",""volumeLevel"":""Nível de volume"",""subtitles"":""Legendas"",""volumeSlider"":""Barra de controle de volume"",""playVideo"":""Clique para reproduzir o vídeo"",""fullscreen"":""Tela cheia"",""scrubberBar"":""Barra de rolagem"",""mute"":""Silenciar"",""unmute"":""Ativar som"",""pause"":""Pausa"",""captions"":""Legendas"",""nonfullscreen"":""Não em tela cheia""},""version"":"""",""isMoreVideosButtonEnabled"":false,""nexusMetricsConfig"":{""eventSource"":""Player"",""isInternal"":false,""playerTSMMetricsSchemaId"":""vse.VSECardsPlayerEvents.9"",""widgetMetricsSchemaId"":""vse.VSECardsEvents.9"",""producerId"":""vsemetrics_playercards"",""refMarkers"":""vse_reviews_desktop_R39LNAAJ4HQZKP_1773438636590_ref"",""placementContext"":""cr_inline_review"",""weblabIds"":"""",""clientId"":""VSE-BR"",""videoAsin"":""R39LNAAJ4HQZKP"",""videoAsinList"":"""",""customerId"":""A3HU3TWHZ85TLW""},""shouldStartMuted"":false,""airyVersion"":""VideoJS"",""languagePreferenceStrings"":{},""enableInactiveFocus"":true,""showVideoInfo"":false,""isReactFactory"":false,""enableDelphiAttribution"":false,""includeReportWidget"":false,""shouldAutoplay"":false},""needPlayerFactory"":false,""isMobile"":false}O vídeo mostra o produto em uso.O vídeo orienta você na configuração do produto.O vídeo compara vários produtos.O vídeo mostra o produto sendo desembalado.Video Player is loading.Clique para reproduzir o vídeoJogarSilenciarCurrent Time 0:00/Duration 0:00Loaded: 0%0:00Stream Type LIVESeek to live, currently behind liveLIVERemaining Time -0:00 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedLegendasLegendas desativadas, selectedAudio Trackdefault, selectedTela cheiaThis is a modal window.



            
        
    
    








  
  
    Estou decepcionado com o kindle pois em menos de 3 meses de uso ja esta com problemas lag e atraso de passagem de pagina",clickstreamnexusmetricsconfigproduceridvsemetricsplayercardsschemaidclickstreamcustomereventactiontypediscoveryeventownervsemetricsplayercardseventtypeivevideoviewproductidclientprefixvsereviewsdesktoprlnaajhqzkpccvdisclosureclosedcaptionsconfigcaptionsontextsdealemão automatizadoeninglês automatizadofrfrancês automatizadoesespanhol automatizadocaptionsofftextlegendas desativadaslanguagetolabeltextsenglishinglêsfrenchfrancêsgermanalemãospanishespanholsushimetricsconfigeventsourceplayerendpointhttpsunaginaamazoncomeventscomamazoneelvsemetricsprodeventstestrequestidfahtjgkzdbckyhysessionidcustomeridahutwhztlwrefmarkersvsereviewsdesktoprlnaajhqzkprefsessiontypeplacementcontextcrinlinereviewmarketplaceidaqydkwcweblabidsisinternalfalseisrobotfalseclientidvsebrvideoasinlistmimetypeapplicationxmpegurlreporturlnexusmetricsconfigeventsourceplayerisinternalfalseplayertsmmetricsschemaidvsevsecardsplayereventswidgetmetricsschemaidvsevsecardseventsproduceridvsemetricsplayercardsrefmarkersvsereviewsdesktoprlnaajhqzkprefplacementcontextcrinlinereviewweblabidsclientidvsebrvideoasinrlnaajhqzkpvideoasinlistcustomeridahutwhztlwvideoheightdisablereportillegallinkfalsevideowidtheligibletotriggerccweblabfalsevideourlhttpsmmediaamazoncomimagessvsevmstranscodingartifactuseastprodbbbbaecddefaultverticaljobtemplatehlsmumetricsemissionmethodnexusimageurlhttpsmmediaamazoncomimagesitcmutwvlsysyjpgawaconfiguseupnextcomponentfalseclickstreamnexusmetricsconfigproduceridvsemetricsplayercardsschemaidclickstreamcustomereventactiontypediscoveryeventownervsemetricsplayercardseventtypeivevideoviewproductidinitialvideorlnaajhqzkpshouldpreloadtrueenableclickbasedattributionfalseischromelessplayerfalseclosedcaptionsconfigcaptionsontextsdealemão automatizadoeninglês automatizadofrfrancês automatizadoesespanhol automatizadocaptionsofftextlegendas desativadaslanguagetolabeltextsenglishinglêsfrenchfrancêsgermanalemãospanishespanholenabledynamicblurfalseshowplayerplaybuttonfalseisvideoimmersiveplayerfalsemetricsemissionmethodnexusskipinitialfocusfalseplayerskinnonedisabledviewidsreplayhintincludeearnscomissiondisclosurefalsecustomeridahutwhztlwcontaineridvsereviewsdesktoprlnaajhqzkpplayerdcbbccefallowcrossoriginfalserequestmetadataclientidvsebrmarketplaceidaqydkwcrequestidfahtjgkzdbckyhysessionidmethodcrinlinereviewpageasinshouldloopfalseshoulddisablecontrolsfalsealwayssetinitialvideotrueshowplayerclosebuttonfalseclientprefixuseautoplayfallbackfalsesushimetricsconfigeventsourceplayerendpointhttpsunaginaamazoncomeventscomamazoneelvsemetricsprodeventstestrequestidfahtjgkzdbckyhysessionidcustomeridahutwhztlwrefmarkersvsereviewsdesktoprlnaajhqzkprefsessiontypeplacementcontextcrinlinereviewmarketplaceidaqydkwcweblabidsisinternalfalseisrobotfalseclientidvsebrvideoasinlistosplinkcodeshowposterimagetruelanguagecodeptlanguagelocalizationplayjogarvolumelevelnível de volumesubtitleslegendasvolumesliderbarra de controle de volumeplayvideoclique para reproduzir o vídeofullscreentela cheiascrubberbarbarra de rolagemmutesilenciarunmuteativar sompausepausacaptionslegendasnonfullscreennão em tela cheiaversionismorevideosbuttonenabledfalsenexusmetricsconfigeventsourceplayerisinternalfalseplayertsmmetricsschemaidvsevsecardsplayereventswidgetmetricsschemaidvsevsecardseventsproduceridvsemetricsplayercardsrefmarkersvsereviewsdesktoprlnaajhqzkprefplacementcontextcrinlinereviewweblabidsclientidvsebrvideoasinrlnaajhqzkpvideoasinlistcustomeridahutwhztlwshouldstartmutedfalseairyversionvideojslanguagepreferencestringsenableinactivefocustrueshowvideoinfofalseisreactfactoryfalseenabledelphiattributionfalseincludereportwidgetfalseshouldautoplayfalseneedplayerfactoryfalseismobilefalseo vídeo mostra o produto em usoo vídeo orienta você na configuração do produtoo vídeo compara vários produtoso vídeo mostra o produto sendo desembaladovideo player is loadingclique para reproduzir o vídeojogarsilenciarcurrent time duration loaded stream type liveseek to live currently behind liveliveremaining time xplayback ratechapterschaptersdescriptionsdescriptions off selectedlegendaslegendas desativadas selectedaudio trackdefault selectedtela cheiathis is a modal window estou decepcionado com o kindle pois em menos de meses de uso ja esta com problemas lag e atraso de passagem de pagina,1,negativo
22,"Estou com o aparelho há aproximadamente 4 meses e, de forma repentina, começou a aparecer uma listra branca na tela.Ressalto que o aparelho nunca sofreu quedas ou qualquer tipo de dano.",estou com o aparelho há aproximadamente meses e de forma repentina começou a aparecer uma listra branca na telaressalto que o aparelho nunca sofreu quedas ou qualquer tipo de dano,1,negativo
23,Comprei na blackfriday em novembro e só fui usar em janeiro e veio com um led queimado,comprei na blackfriday em novembro e só fui usar em janeiro e veio com um led queimado,1,negativo
24,"Produto apresentou defeito de fabricação já relatado por outras pessoas. As páginas passam sozinhas, loucamente, abre livros sozinho. Impossível de ler. A Amazon não deu a devida atenção para as reclamações, se atendo apenas aos prazos de garantia. Tenho outro Kindle mais antigo que funciona perfeitamente até hoje. Não é legal deixar o consumidor no prejuízo!!",produto apresentou defeito de fabricação já relatado por outras pessoas as páginas passam sozinhas loucamente abre livros sozinho impossível de ler a amazon não deu a devida atenção para as reclamações se atendo apenas aos prazos de garantia tenho outro kindle mais antigo que funciona perfeitamente até hoje não é legal deixar o consumidor no prejuízo,1,negativo
25,Meu Kindle veio com defeito. Ele não recarrega.,meu kindle veio com defeito ele não recarrega,1,negativo
26,veio quebrado e nao consigo solicitar a troca,veio quebrado e nao consigo solicitar a troca,1,negativo
27,"A mídia não pôde ser carregada.
                
            
                
            
        
    
    








  
  
    Péssimo produto. Apresenta toque fantasma e a Amazon não resolve o problema, mesmo reconhecendo que se trata de defeito",a mídia não pôde ser carregada péssimo produto apresenta toque fantasma e a amazon não resolve o problema mesmo reconhecendo que se trata de defeito,1,negativo
28,Bateria durou um pouco mais de 1 ano.,bateria durou um pouco mais de ano,1,negativo
29,"Não está funcionando mais, nem 1 ano com ele",não está funcionando mais nem ano com ele,1,negativo
30,Não consigo recarregar a bateria.,não consigo recarregar a bateria,1,negativo
31,"Comprei , chegou com problema , luz noturna não funciona e bateria dura só um dia, entro em contato e mandam fazer uns testes que não resolve nada. Vou procurar meus direitos.",comprei chegou com problema luz noturna não funciona e bateria dura só um dia entro em contato e mandam fazer uns testes que não resolve nada vou procurar meus direitos,1,negativo
32,"{""clickstreamNexusMetricsConfig"":{""producerId"":""vsemetrics_playercards"",""schemaId"":""clickstream.CustomerEvent.4"",""actionType"":""DISCOVERY"",""eventOwner"":""vsemetrics_playercards"",""eventType"":""IVEVideoView"",""productId"":""""},""clientPrefix"":""vse_reviews_desktop_rch375prrt787_1773438639667"",""ccvDisclosure"":"""",""closedCaptionsConfig"":{""captionsOnTexts"":{""de"":""Alemão (Automatizado)"",""en"":""Inglês (Automatizado)"",""fr"":""Francês (Automatizado)"",""es"":""Espanhol (Automatizado)""},""captionsOffText"":""Legendas desativadas"",""languageToLabelTexts"":{""English"":""Inglês"",""French"":""Francês"",""German"":""Alemão"",""Spanish"":""Espanhol""}},""sushiMetricsConfig"":{""eventSource"":""Player"",""endpoint"":""https://unagi-na.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test"",""requestId"":""HJHKKYFSHHJ7YX780D3V"",""sessionId"":""135-8958072-2327906"",""customerId"":""A3HU3TWHZ85TLW"",""refMarkers"":""vse_reviews_desktop_RCH375PRRT787_1773438639667_ref"",""sessionType"":1,""placementContext"":""cr_inline_review"",""marketplaceId"":""A2Q3Y263D00KWC"",""weblabIds"":"""",""isInternal"":false,""isRobot"":false,""clientId"":""VSE-BR"",""videoAsinList"":""""},""mimeType"":""application/x-mpegURL"",""reportUrl"":"""",""nexusMetricsConfig"":{""eventSource"":""Player"",""isInternal"":false,""playerTSMMetricsSchemaId"":""vse.VSECardsPlayerEvents.9"",""widgetMetricsSchemaId"":""vse.VSECardsEvents.9"",""producerId"":""vsemetrics_playercards"",""refMarkers"":""vse_reviews_desktop_RCH375PRRT787_1773438639667_ref"",""placementContext"":""cr_inline_review"",""weblabIds"":"""",""clientId"":""VSE-BR"",""videoAsin"":""RCH375PRRT787"",""videoAsinList"":"""",""customerId"":""A3HU3TWHZ85TLW""},""videoHeight"":0,""disableReportIllegalLink"":false,""videoWidth"":0,""eligibleToTriggerCCWeblab"":false,""videoUrl"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/22018055-74ee-40d6-ac57-5274cced34c7/default.vertical.jobtemplate.hls.m3u8"",""metricsEmissionMethod"":""nexus"",""imageUrl"":""https://m.media-amazon.com/images/I/71A6zQH7YgL._SY256._SY256.jpg"",""awaConfig"":{""useUpNextComponent"":false,""clickstreamNexusMetricsConfig"":{""producerId"":""vsemetrics_playercards"",""schemaId"":""clickstream.CustomerEvent.4"",""actionType"":""DISCOVERY"",""eventOwner"":""vsemetrics_playercards"",""eventType"":""IVEVideoView"",""productId"":""""},""initialVideo"":""RCH375PRRT787"",""shouldPreload"":true,""enableClickBasedAttribution"":false,""isChromelessPlayer"":false,""closedCaptionsConfig"":{""captionsOnTexts"":{""de"":""Alemão (Automatizado)"",""en"":""Inglês (Automatizado)"",""fr"":""Francês (Automatizado)"",""es"":""Espanhol (Automatizado)""},""captionsOffText"":""Legendas desativadas"",""languageToLabelTexts"":{""English"":""Inglês"",""French"":""Francês"",""German"":""Alemão"",""Spanish"":""Espanhol""}},""enableDynamicBlur"":false,""showPlayerPlayButton"":false,""isVideoImmersivePlayer"":false,""metricsEmissionMethod"":""nexus"",""skipInitialFocus"":false,""playerSkin"":""none"",""disabledViewIds"":[""replayHint""],""includeEarnsComissionDisclosure"":false,""customerId"":""A3HU3TWHZ85TLW"",""containerId"":""vse_reviews_desktop_rch375prrt787_1773438639667-player-d797f380-4bdd-40de-9788-50f8e6a59ff0"",""allowCrossOrigin"":false,""requestMetadata"":{""clientId"":""VSE-BR"",""marketplaceId"":""A2Q3Y263D00KWC"",""requestId"":""HJHKKYFSHHJ7YX780D3V"",""sessionId"":""135-8958072-2327906"",""method"":""cr_inline_review"",""pageAsin"":""""},""shouldLoop"":false,""shouldDisableControls"":false,""alwaysSetInitialVideo"":true,""showPlayerCloseButton"":false,""clientPrefix"":"""",""useAutoplayFallback"":false,""sushiMetricsConfig"":{""eventSource"":""Player"",""endpoint"":""https://unagi-na.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test"",""requestId"":""HJHKKYFSHHJ7YX780D3V"",""sessionId"":""135-8958072-2327906"",""customerId"":""A3HU3TWHZ85TLW"",""refMarkers"":""vse_reviews_desktop_RCH375PRRT787_1773438639667_ref"",""sessionType"":1,""placementContext"":""cr_inline_review"",""marketplaceId"":""A2Q3Y263D00KWC"",""weblabIds"":"""",""isInternal"":false,""isRobot"":false,""clientId"":""VSE-BR"",""videoAsinList"":""""},""ospLinkCode"":"""",""showPosterImage"":true,""languageCode"":""pt"",""languageLocalization"":{""play"":""Jogar"",""volumeLevel"":""Nível de volume"",""subtitles"":""Legendas"",""volumeSlider"":""Barra de controle de volume"",""playVideo"":""Clique para reproduzir o vídeo"",""fullscreen"":""Tela cheia"",""scrubberBar"":""Barra de rolagem"",""mute"":""Silenciar"",""unmute"":""Ativar som"",""pause"":""Pausa"",""captions"":""Legendas"",""nonfullscreen"":""Não em tela cheia""},""version"":"""",""isMoreVideosButtonEnabled"":false,""nexusMetricsConfig"":{""eventSource"":""Player"",""isInternal"":false,""playerTSMMetricsSchemaId"":""vse.VSECardsPlayerEvents.9"",""widgetMetricsSchemaId"":""vse.VSECardsEvents.9"",""producerId"":""vsemetrics_playercards"",""refMarkers"":""vse_reviews_desktop_RCH375PRRT787_1773438639667_ref"",""placementContext"":""cr_inline_review"",""weblabIds"":"""",""clientId"":""VSE-BR"",""videoAsin"":""RCH375PRRT787"",""videoAsinList"":"""",""customerId"":""A3HU3TWHZ85TLW""},""shouldStartMuted"":false,""airyVersion"":""VideoJS"",""languagePreferenceStrings"":{},""enableInactiveFocus"":true,""showVideoInfo"":false,""isReactFactory"":false,""enableDelphiAttribution"":false,""includeReportWidget"":false,""shouldAutoplay"":false},""needPlayerFactory"":false,""isMobile"":false}O vídeo mostra o produto em uso.O vídeo orienta você na configuração do produto.O vídeo compara vários produtos.O vídeo mostra o produto sendo desembalado.Video Player is loading.Clique para reproduzir o vídeoJogarSilenciarCurrent Time /Duration Loaded: 0%Stream Type LIVESeek to live, currently behind liveLIVERemaining Time - 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedLegendascaptions and subtitles off, selectedAudio TrackTela cheiaThis is a modal window.



            
        
    
    








  
  
    Adquiri o Kindle (11ª geração) e, após algum tempo de uso, o aparelho passou a apresentar um problema grave de ""ghost touch"". Assim que é ligado, a tela começa a registrar toques aleatórios de forma contínua, tornando o dispositivo completamente inutilizável.Segui todos os procedimentos recomendados pela Amazon diversas vezes, incluindo restauração de fábrica, reinicialização prolongada, ciclos completos de descarga e recarga da bateria, limpeza da tela e testes sem capa. Nada resolveu o problema.O ponto mais preocupante é que, após o término da garantia, não existe assistência técnica autorizada, não há opção de reparo ou substituição de tela, e a única alternativa prática é adquirir um novo aparelho.Sou cliente da Amazon há mais de duas décadas e já tive outros dispositivos Kindle. Não esperava que um equipamento se tornasse totalmente inutilizável sem qualquer possibilidade de reparo fora da garantia.Fica o alerta: caso esse problema ocorra após o período de garantia, não há solução técnica disponível.",clickstreamnexusmetricsconfigproduceridvsemetricsplayercardsschemaidclickstreamcustomereventactiontypediscoveryeventownervsemetricsplayercardseventtypeivevideoviewproductidclientprefixvsereviewsdesktoprchprrtccvdisclosureclosedcaptionsconfigcaptionsontextsdealemão automatizadoeninglês automatizadofrfrancês automatizadoesespanhol automatizadocaptionsofftextlegendas desativadaslanguagetolabeltextsenglishinglêsfrenchfrancêsgermanalemãospanishespanholsushimetricsconfigeventsourceplayerendpointhttpsunaginaamazoncomeventscomamazoneelvsemetricsprodeventstestrequestidhjhkkyfshhjyxdvsessionidcustomeridahutwhztlwrefmarkersvsereviewsdesktoprchprrtrefsessiontypeplacementcontextcrinlinereviewmarketplaceidaqydkwcweblabidsisinternalfalseisrobotfalseclientidvsebrvideoasinlistmimetypeapplicationxmpegurlreporturlnexusmetricsconfigeventsourceplayerisinternalfalseplayertsmmetricsschemaidvsevsecardsplayereventswidgetmetricsschemaidvsevsecardseventsproduceridvsemetricsplayercardsrefmarkersvsereviewsdesktoprchprrtrefplacementcontextcrinlinereviewweblabidsclientidvsebrvideoasinrchprrtvideoasinlistcustomeridahutwhztlwvideoheightdisablereportillegallinkfalsevideowidtheligibletotriggerccweblabfalsevideourlhttpsmmediaamazoncomimagessvsevmstranscodingartifactuseastprodeedacccedcdefaultverticaljobtemplatehlsmumetricsemissionmethodnexusimageurlhttpsmmediaamazoncomimagesiazqhyglsysyjpgawaconfiguseupnextcomponentfalseclickstreamnexusmetricsconfigproduceridvsemetricsplayercardsschemaidclickstreamcustomereventactiontypediscoveryeventownervsemetricsplayercardseventtypeivevideoviewproductidinitialvideorchprrtshouldpreloadtrueenableclickbasedattributionfalseischromelessplayerfalseclosedcaptionsconfigcaptionsontextsdealemão automatizadoeninglês automatizadofrfrancês automatizadoesespanhol automatizadocaptionsofftextlegendas desativadaslanguagetolabeltextsenglishinglêsfrenchfrancêsgermanalemãospanishespanholenabledynamicblurfalseshowplayerplaybuttonfalseisvideoimmersiveplayerfalsemetricsemissionmethodnexusskipinitialfocusfalseplayerskinnonedisabledviewidsreplayhintincludeearnscomissiondisclosurefalsecustomeridahutwhztlwcontaineridvsereviewsdesktoprchprrtplayerdfbdddefeaffallowcrossoriginfalserequestmetadataclientidvsebrmarketplaceidaqydkwcrequestidhjhkkyfshhjyxdvsessionidmethodcrinlinereviewpageasinshouldloopfalseshoulddisablecontrolsfalsealwayssetinitialvideotrueshowplayerclosebuttonfalseclientprefixuseautoplayfallbackfalsesushimetricsconfigeventsourceplayerendpointhttpsunaginaamazoncomeventscomamazoneelvsemetricsprodeventstestrequestidhjhkkyfshhjyxdvsessionidcustomeridahutwhztlwrefmarkersvsereviewsdesktoprchprrtrefsessiontypeplacementcontextcrinlinereviewmarketplaceidaqydkwcweblabidsisinternalfalseisrobotfalseclientidvsebrvideoasinlistosplinkcodeshowposterimagetruelanguagecodeptlanguagelocalizationplayjogarvolumelevelnível de volumesubtitleslegendasvolumesliderbarra de controle de volumeplayvideoclique para reproduzir o vídeofullscreentela cheiascrubberbarbarra de rolagemmutesilenciarunmuteativar sompausepausacaptionslegendasnonfullscreennão em tela cheiaversionismorevideosbuttonenabledfalsenexusmetricsconfigeventsourceplayerisinternalfalseplayertsmmetricsschemaidvsevsecardsplayereventswidgetmetricsschemaidvsevsecardseventsproduceridvsemetricsplayercardsrefmarkersvsereviewsdesktoprchprrtrefplacementcontextcrinlinereviewweblabidsclientidvsebrvideoasinrchprrtvideoasinlistcustomeridahutwhztlwshouldstartmutedfalseairyversionvideojslanguagepreferencestringsenableinactivefocustrueshowvideoinfofalseisreactfactoryfalseenabledelphiattributionfalseincludereportwidgetfalseshouldautoplayfalseneedplayerfactoryfalseismobilefalseo vídeo mostra o produto em usoo vídeo orienta você na configuração do produtoo vídeo compara vários produtoso vídeo mostra o produto sendo desembaladovideo player is loadingclique para reproduzir o vídeojogarsilenciarcurrent time duration loaded stream type liveseek to live currently behind liveliveremaining time xplayback ratechapterschaptersdescriptionsdescriptions off selectedlegendascaptions and subtitles off selectedaudio tracktela cheiathis is a modal window adquiri o kindle geração e após algum tempo de uso o aparelho passou a apresentar um problema grave de ghost touch assim que é ligado a tela começa a registrar toques aleatórios de forma contínua tornando o dispositivo completamente inutilizávelsegui todos os procedimentos recomendados pela amazon diversas vezes incluindo restauração de fábrica reinicialização prolongada ciclos completos de descarga e recarga da bateria limpeza da tela e testes sem capa nada resolveu o problemao ponto mais preocupante é que após o término da garantia não existe assistência técnica autorizada não há opção de reparo ou substituição de tela e a única alternativa prática é adquirir um novo aparelhosou cliente da amazon há mais de duas décadas e já tive outros dispositivos kindle não esperava que um equipamento se tornasse totalmente inutilizável sem qualquer possibilidade de reparo fora da garantiafica o alerta caso esse problema ocorra após o período de garantia não há solução técnica disponível,1,negativo
33,"Infelizmente meu aparelho com menos de 1 ano de uso já dava sinais de defeito, passava páginas sozinhos, depois parou de funcionar a parte inferior da tela e por fim agora estou com um objetivo que pagamos um valor considerável inutilizado.Uma grande decepção!",infelizmente meu aparelho com menos de ano de uso já dava sinais de defeito passava páginas sozinhos depois parou de funcionar a parte inferior da tela e por fim agora estou com um objetivo que pagamos um valor considerável inutilizadouma grande decepção,1,negativo
34,Ótimo produto!,ótimo produto,3,neutro
35,Recebi hoje e o produto ja apresentou problemas..esta travado e nao consigo usar..,recebi hoje e o produto ja apresentou problemasesta travado e nao consigo usar,1,negativo
36,O meu veio com problema dei ele de presente aí a pessoa veio me falar 10 dias depôs,o meu veio com problema dei ele de presente aí a pessoa veio me falar dias depôs,1,negativo
37,Carregador veio quebrado,carregador veio quebrado,1,negativo
38,"Não comprem! É besteira comprar e vai gastar o seu dinheirinho à toa! É lento, preto e branco e ultrapassado. Baixem o aplicativo kindle no seu celular e vai conseguir ler os livros, mas tem um porém, os livros que vc comprar no kindle você não poderá ler em outro aplicativo de leitura de livros como play do google, etc. Péssima aquisição! Decepcionante!",não comprem é besteira comprar e vai gastar o seu dinheirinho à toa é lento preto e branco e ultrapassado baixem o aplicativo kindle no seu celular e vai conseguir ler os livros mas tem um porém os livros que vc comprar no kindle você não poderá ler em outro aplicativo de leitura de livros como play do google etc péssima aquisição decepcionante,1,negativo
39,"A mídia não pôde ser carregada.
                
            
                
            
        
    
    








  
  
    É o meu segundo kindle que dá problema em 4 anos. A tela se movimeta sozinha e segundo a Amazon não há o que fazer. Joga no lixo e compra um novo. Ele é bom até parar de funcionar.  Os dois que tive duraram pouco mais de 2 anos... triste...",a mídia não pôde ser carregada é o meu segundo kindle que dá problema em anos a tela se movimeta sozinha e segundo a amazon não há o que fazer joga no lixo e compra um novo ele é bom até parar de funcionar os dois que tive duraram pouco mais de anos triste,1,negativo
40,"A mídia não pôde ser carregada.
                
            
                
            
        
    
    








  
  
    consigo ver a página anterior q li, esperava mto mais da amazon",a mídia não pôde ser carregada consigo ver a página anterior q li esperava mto mais da amazon,1,negativo
41,Ele simplesmente nao carrega e é impossível acionar a garantia do produto. Entramos em loops pela Amazon e chegamos sempre ao mesmo lugar.,ele simplesmente nao carrega e é impossível acionar a garantia do produto entramos em loops pela amazon e chegamos sempre ao mesmo lugar,1,negativo
42,"O kindle é bom, mas só funcionou o modo noturno nos primeiros dias, agora não funciona mais, mas não consigo fazer contato para a troca.",o kindle é bom mas só funcionou o modo noturno nos primeiros dias agora não funciona mais mas não consigo fazer contato para a troca,1,negativo
43,Ele parou de funcionar depois de 3 dias de uso,ele parou de funcionar depois de dias de uso,2,negativo
